Uniprot_ID,log2 Fold Change,P.Value
Q8NN18,0.365793467,0.204113974
Q8NN19,-0.415599105,0.350331087
Q8NN20,-0.160744523,0.736555239
Q8NN21,-0.838355905,0.232507478
Q8NN22,-0.779684595,0.755135394
Q8NN23,0.463300483,0.124779539
Q8NN24,0.058678301,0.868938097
Q8NN25,0.701257932,0.228028496
Q8NN26,-0.925618023,0.159907076
Q8NN31,1.166161524,0.386594908
Q8NN32,-0.041074589,0.929343092
Q8NN33,-0.095431623,0.780381622
Q8NN34,0.703284397,0.378514696
Q8NN35,0.591571748,0.266480382
Q8NN37,-0.18884106,0.62329773
Q8NN38,-0.256383106,0.219768627
Q8NN39,-0.077263636,0.956682012
Q8NN40,-0.190250669,0.899517464
Q8NN41,0.359920417,0.385792182
Q8NN42,-1.116716176,0.527137333
Q8NN43,0.54430967,0.192177775
Q8NN44,-0.341553359,0.600775131
Q8NN48,0.584956233,0.794877168
Q8NN49,-0.388600194,0.138785284
Q8NN50,0.305662896,0.332228237
Q8NN51,0.027751885,0.931219029
Q8NN53,0.041985076,0.910550861
Q8NN54,-0.203686557,0.614311149
Q8NN55,-1.397202392,0.147452866
Q8NN57,2.19576482,0.148851918
Q8NN58,0.210207957,0.899036129
Q8NN59,0.587864779,0.350331087
Q8NN60,0.161246386,0.597618342
Q8NN63,-0.429521992,0.840031419
Q8NN64,0.018176892,0.958589466
Q8NN66,-0.190438418,0.60108013
Q8NN67,0.691448574,0.73768712
Q8NN68,0.200343361,0.443029622
Q8NN72,-0.844983337,0.082858014
Q8NN74,-0.333712568,0.835933624
Q8NN75,0.671030428,0.557015068
Q8NN78,0.05976037,0.620168778
Q8NN80,0.493817348,0.775334515
Q8NN81,-0.443328101,0.711098716
Q8NN82,0.150432693,0.834689805
Q8NN83,-0.812573485,0.438564636
Q8NN85,-0.628500764,0.451606462
Q8NN86,0.000373887,0.999402385
Q8NN90,0.155747676,0.75924086
Q8NN91,-0.229810268,0.863140545
Q8NN94,-0.257743598,0.443029622
Q8NN95,0.13944462,0.854214494
Q8NN96,0.094375378,0.92165488
Q8NN99,0.124388625,0.930489335
Q8NNA0,0.127756196,0.498442155
Q8NNA1,-0.255964199,0.615971816
Q8NNA2,0.013874944,0.985789279
Q8NNA3,-0.799894761,0.169958827
Q8NNA6,-0.794184061,0.635139931
Q8NNA7,-0.08258816,0.681146999
Q8NNA8,0.170070077,0.608185587
Q8NNA9,1.096479585,0.542291209
Q8NNB0,-1.454014239,0.44700913
Q8NNB1,0.265732454,0.697988371
Q8NNB2,0.197834372,0.665013328
Q8NNB3,0.433772872,0.15341744
Q8NNB4,0.980912792,0.064405651
Q8NNB5,0.707621121,0.191760784
Q8NNB6,-0.341241872,0.127886103
Q8NNB8,-2.431374798,0.446650486
Q8NNB9,0.197447064,0.628041671
Q8NNC0,-0.953680354,0.780381622
Q8NNC1,1.004301838,0.219768627
Q8NNC2,3.220251062,0.219297931
Q8NNC4,0.746467877,0.21074505
Q8NNC5,1.112153292,0.033811596
Q8NNC6,0.380937195,0.330699041
Q8NNC7,0.007878961,0.98732086
Q8NNC8,1.158905584,0.600775131
Q8NNC9,-0.173349916,0.866181236
Q8NND0,-0.248065359,0.683369644
Q8NND1,0.231704912,0.678516407
Q8NND3,0.106569377,0.835933624
Q8NND4,0.35608249,0.511689138
Q8NND5,-0.05930092,0.914615853
Q8NND6,-0.656293722,0.096313761
Q8NND7,-1.389885766,0.156129004
Q8NND8,0.005596475,0.979236906
Q8NNE0,0.944088073,0.789679587
Q8NNE5,0.576296098,0.798066466
Q8NNE6,0.914332572,0.557990122
Q8NNE7,-0.262722935,0.328463755
Q8NNE8,0.188958102,0.41392679
Q8NNE9,-0.100345257,0.866181236
Q8NNF0,-0.456262761,0.637754539
Q8NNF2,0.160793017,0.732541454
Q8NNF3,-0.202239645,0.614718871
Q8NNF4,0.112569278,0.828038442
Q8NNF5,-0.239467109,0.434887685
Q8NNF6,-0.349147707,0.258773919
Q8NNF8,-0.049864782,0.952267744
Q8NNG3,-0.385689265,0.797924793
Q8NNG4,-0.843646654,0.068637271
Q8NNG5,0.051953182,0.929343092
Q8NNG6,-0.508095325,0.270850452
Q8NNG7,0.13504295,0.625026982
Q8NNG9,-0.079968409,0.925423199
Q8NNH0,-0.453392039,0.166194601
Q8NNH1,-0.798438226,0.175493414
Q8NNH2,-0.047667982,0.899517464
Q8NNH4,0.078918288,0.884446888
Q8NNH5,-0.704101524,0.518149235
Q8NNH6,0.697341941,0.102183815
Q8NNI0,0.069701362,0.984883888
Q8NNI2,-0.822404453,0.275204369
Q8NNI3,-0.823082648,0.200980727
Q8NNI4,-0.087209182,0.698724799
Q8NNI5,-0.747226723,0.123121241
Q8NNI7,0.239139128,0.752938229
Q8NNI8,0.090673177,0.786216301
Q8NNI9,0.450332299,0.339405471
Q8NNJ0,-0.913669952,0.414749571
Q8NNJ1,0.434799545,0.222619985
Q8NNJ2,-0.100576515,0.844433751
Q8NNJ3,-0.321793118,0.773715858
Q8NNJ4,-0.504503002,0.133127155
Q8NNJ5,0.545752701,0.152706946
Q8NNJ8,0.00468892,0.987309354
Q8NNK0,0.515332485,0.217345694
Q8NNK1,-0.132449313,0.650347128
Q8NNK2,0.273736469,0.096140074
Q8NNK3,0.231824073,0.573854784
Q8NNK5,0.401737833,0.749417314
Q8NNK7,1.761927791,0.155574301
Q8NNK8,-0.37139695,0.209327272
Q8NNK9,0.209051946,0.305661908
Q8NNL3,0.809608222,0.109713478
Q8NNL4,-0.451664795,0.514278312
Q8NNL5,-0.364781942,0.272783037
Q8NNL8,0.281830355,0.278859964
